infMethod,nDocs,time
Lightweight_MH,20,7.2967803700000005
Lightweight_MH,20,7.103852735
Lightweight_MH,20,7.781341467
Lightweight_MH,20,7.289544436
Lightweight_MH,20,7.854641653
Lightweight_MH,20,7.629423754
Lightweight_MH,20,6.821709707
Lightweight_MH,20,7.053631692
Lightweight_MH,20,7.146665771
Lightweight_MH,20,7.202544261
Lightweight_MH,20,7.445991177
Lightweight_MH,20,7.6555695230000005
Lightweight_MH,20,7.994874913
Lightweight_MH,20,8.373730857
Lightweight_MH,20,8.69823134
Lightweight_MH,20,7.086440268
Lightweight_MH,25,9.169278376
Lightweight_MH,25,9.725051714
Lightweight_MH,25,9.343431825
Lightweight_MH,25,9.82706859
Lightweight_MH,25,10.030363271
Lightweight_MH,25,10.6217546
Lightweight_MH,25,11.349325451
Lightweight_MH,25,10.019509605
Lightweight_MH,25,9.388895602
Lightweight_MH,25,9.82147246
Lightweight_MH,25,9.919482443
Lightweight_MH,25,9.884614045
Lightweight_MH,25,10.578840737
Lightweight_MH,25,11.024069031
Lightweight_MH,25,10.974648912
Lightweight_MH,25,8.693473976
Lightweight_MH,25,9.215770473
Lightweight_MH,25,9.255987358
Lightweight_MH,25,9.851862687
Lightweight_MH,25,10.386838777
Lightweight_MH,30,12.94336474
Lightweight_MH,30,13.353589978
Lightweight_MH,30,12.517580294
Lightweight_MH,30,11.356210511
Lightweight_MH,30,11.673295893
Lightweight_MH,30,12.300026853
Lightweight_MH,30,12.901565099
Lightweight_MH,30,13.243099811
Lightweight_MH,30,13.297452911
Lightweight_MH,30,10.992644481
Lightweight_MH,30,11.28756227
Lightweight_MH,30,11.945590473
Lightweight_MH,30,12.298911113
Lightweight_MH,30,12.615825693
Lightweight_MH,30,12.617369364
Lightweight_MH,30,13.336585287
Lightweight_MH,30,10.933202525
Lightweight_MH,30,11.689007806
Lightweight_MH,30,12.016559588
Lightweight_MH,30,12.23506693
Lightweight_MH,35,15.654460656
Lightweight_MH,35,16.826239058
Lightweight_MH,35,12.953666897
Lightweight_MH,35,13.249305524
Lightweight_MH,35,14.357992333
Lightweight_MH,35,15.180731806
Lightweight_MH,35,15.82338403
Lightweight_MH,35,15.886480531
Lightweight_MH,35,13.091359937
Lightweight_MH,35,14.301302641
Lightweight_MH,35,14.67146882
Lightweight_MH,35,15.48870033
Lightweight_MH,35,15.425694123
Lightweight_MH,35,14.248870466
Lightweight_MH,35,13.475814903
Lightweight_MH,35,14.179878655
Lightweight_MH,35,15.548265965
Lightweight_MH,35,15.560762185
Lightweight_MH,35,16.108033854
Lightweight_MH,35,13.015547729
Lightweight_MH,40,16.31797018
Lightweight_MH,40,16.9070914
Lightweight_MH,40,17.906611103
Lightweight_MH,40,18.553740042
Lightweight_MH,40,15.568064624
Lightweight_MH,40,15.340601506
Lightweight_MH,40,17.123462033
Lightweight_MH,40,17.785893679
Lightweight_MH,40,18.341828122
Lightweight_MH,40,15.416901049
Lightweight_MH,40,16.495168727
Lightweight_MH,40,17.537975856
Lightweight_MH,40,18.168955789
Lightweight_MH,40,15.971444181
Lightweight_MH,40,15.396949904
Lightweight_MH,40,15.666714724
Lightweight_MH,40,16.552996823
Lightweight_MH,40,17.695323255
Lightweight_MH,40,15.646454448
Lightweight_MH,40,15.020761223
Lightweight_MH,45,18.23765099
Lightweight_MH,45,19.634248146
Lightweight_MH,45,19.088866966
Lightweight_MH,45,16.839924995
Lightweight_MH,45,17.943850397
Lightweight_MH,45,19.538131726
Lightweight_MH,45,19.106069911
Lightweight_MH,45,17.298287846
Lightweight_MH,45,18.050373901
Lightweight_MH,45,19.074672663
Lightweight_MH,45,20.068780928
Lightweight_MH,45,17.077730745
Lightweight_MH,45,17.96141755
Lightweight_MH,45,19.06393961
Lightweight_MH,45,19.816102784999998
Lightweight_MH,45,16.447258257
Lightweight_MH,45,17.909025532
Lightweight_MH,45,19.160889448
Lightweight_MH,45,20.726869773
Lightweight_MH,45,16.864132526
Lightweight_MH,50,20.067237818
Lightweight_MH,50,22.088999192
Lightweight_MH,50,22.139507377
Lightweight_MH,50,19.875908207
Lightweight_MH,50,21.313366414
Lightweight_MH,50,22.421351908
Lightweight_MH,50,19.449802555
Lightweight_MH,50,19.71391155
Lightweight_MH,50,21.420554252
Lightweight_MH,50,22.669712593
Lightweight_MH,50,18.941206995
Lightweight_MH,50,19.92448854
Lightweight_MH,50,22.270077468
Lightweight_MH,50,19.943024321
Lightweight_MH,50,19.685487412
Lightweight_MH,50,22.478633754
Lightweight_MH,50,23.693645601
Lightweight_MH,50,19.643273369
Lightweight_MH,50,21.140254348
Lightweight_MH,50,22.788075579
Lightweight_MH_CPS,5,1.547376015
Lightweight_MH_CPS,5,1.5452745719999998
Lightweight_MH_CPS,5,1.621005491
Lightweight_MH_CPS,5,1.5551605149999999
Lightweight_MH_CPS,5,1.198663531
Lightweight_MH_CPS,5,1.208422099
Lightweight_MH_CPS,5,1.2691536239999999
Lightweight_MH_CPS,5,1.25713268
Lightweight_MH_CPS,5,1.285590949
Lightweight_MH_CPS,5,1.246803489
Lightweight_MH_CPS,5,1.288919078
Lightweight_MH_CPS,5,1.254835131
Lightweight_MH_CPS,5,1.242139769
Lightweight_MH_CPS,5,1.31315668
Lightweight_MH_CPS,5,1.175603553
Lightweight_MH_CPS,5,1.2704828240000001
Lightweight_MH_CPS,5,1.333832091
Lightweight_MH_CPS,5,1.251019695
Lightweight_MH_CPS,5,1.3821566650000001
Lightweight_MH_CPS,5,1.374906361
Lightweight_MH_CPS,10,2.234176611
Lightweight_MH_CPS,10,2.270418153
Lightweight_MH_CPS,10,2.214622285
Lightweight_MH_CPS,10,2.3595547789999998
Lightweight_MH_CPS,10,2.366971405
Lightweight_MH_CPS,10,2.332712122
Lightweight_MH_CPS,10,2.347035229
Lightweight_MH_CPS,10,2.353528185
Lightweight_MH_CPS,10,2.510918044
