infMethod,modelSize,time
Lightweight_MH,9,50.142154233
Lightweight_MH,9,52.091478239
Lightweight_MH,9,52.093593047
Lightweight_MH,9,51.230052536
Lightweight_MH,9,53.852304868
Lightweight_MH,9,49.778094962
Lightweight_MH,9,49.501265959
Lightweight_MH,9,50.15868171
Lightweight_MH,9,50.424634077
Lightweight_MH,9,49.914388222
Lightweight_MH,9,49.384906617
Lightweight_MH,9,48.224073789
Lightweight_MH,9,49.929426237
Lightweight_MH,9,49.745352258
Lightweight_MH,9,52.085049969
Lightweight_MH,9,50.19237311
Lightweight_MH,9,51.530000788
Lightweight_MH,10,59.425463807
Lightweight_MH,10,62.127045493
Lightweight_MH,10,65.592778515
Lightweight_MH,10,63.402464817
Lightweight_MH,10,67.593140604
Lightweight_MH,10,63.876532161
Lightweight_MH,10,66.38956952
Lightweight_MH,10,60.84116966
Lightweight_MH,10,66.334157522
Lightweight_MH,10,66.284850898
Lightweight_MH,10,64.159978097
Lightweight_MH,10,64.15207718
Lightweight_MH,10,64.521586956
Lightweight_MH,10,68.101772745
Lightweight_MH,10,67.366944426
Lightweight_MH,10,65.666266076
Lightweight_MH,10,64.2727106
Lightweight_MH,10,63.648761096
Lightweight_MH,10,66.582529217
Lightweight_MH,10,69.676937903
Incremental_MH,1,0.172883183
Incremental_MH,1,0.157189106
Incremental_MH,1,0.156010298
Incremental_MH,1,0.177957901
Incremental_MH,1,0.140299315
Incremental_MH,1,0.141605083
Incremental_MH,1,0.130748613
Incremental_MH,1,0.132488142
Incremental_MH,1,0.127506156
Incremental_MH,1,0.121232886
Incremental_MH,1,0.114519196
Incremental_MH,1,0.128544066
Incremental_MH,1,0.143928886
Incremental_MH,1,0.134397648
Incremental_MH,1,0.136209292
Incremental_MH,1,0.122372521
Incremental_MH,1,0.116493019
Incremental_MH,1,0.122832362
Incremental_MH,1,0.116429228
Incremental_MH,1,0.154221643
Incremental_MH,2,0.20098117
Incremental_MH,2,0.196563034
Incremental_MH,2,0.177923908
Incremental_MH,2,0.178303535
Incremental_MH,2,0.177545075
Incremental_MH,2,0.181000642
Incremental_MH,2,0.208455129
Incremental_MH,2,0.18436658
Incremental_MH,2,0.183560066
Incremental_MH,2,0.176402059
Incremental_MH,2,0.170000188
Incremental_MH,2,0.177716961
Incremental_MH,2,0.17034491
Incremental_MH,2,0.178737941
Incremental_MH,2,0.164264529
Incremental_MH,2,0.17112433
Incremental_MH,2,0.181208289
Incremental_MH,2,0.181215221
Incremental_MH,2,0.171639651
Incremental_MH,2,0.192765836
Incremental_MH,3,0.216563166
Incremental_MH,3,0.260041671
Incremental_MH,3,0.25610828
Incremental_MH,3,0.249467938
Incremental_MH,3,0.271132023
Incremental_MH,3,0.248407666
Incremental_MH,3,0.24061179
Incremental_MH,3,0.221005937
Incremental_MH,3,0.234368595
Incremental_MH,3,0.268795746
Incremental_MH,3,0.267479332
Incremental_MH,3,0.265342819
Incremental_MH,3,0.261285511
Incremental_MH,3,0.254493569
Incremental_MH,3,0.258967741
Incremental_MH,3,0.235844612
Incremental_MH,3,0.233371865
Incremental_MH,3,0.275918977
Incremental_MH,3,0.266179283
Incremental_MH,3,0.257928043
Incremental_MH,4,0.32134041
Incremental_MH,4,0.306148004
Incremental_MH,4,0.306973286
Incremental_MH,4,0.326308793
Incremental_MH,4,0.328903679
Incremental_MH,4,0.325584681
Incremental_MH,4,0.339189928
Incremental_MH,4,0.30700177
Incremental_MH,4,0.315453377
Incremental_MH,4,0.31241421
Incremental_MH,4,0.329341698
Incremental_MH,4,0.318199004
Incremental_MH,4,0.299793878
Incremental_MH,4,0.327166266
Incremental_MH,4,0.324726197
Incremental_MH,4,0.320115541
Incremental_MH,4,0.315020794
Incremental_MH,4,0.302888006
Incremental_MH,4,0.326091966
