infMethod,modelSize,time
Lightweight_MH,10,86.554402622
Lightweight_MH,10,85.416498084
Lightweight_MH,10,87.556399411
Lightweight_MH,10,88.511471732
Lightweight_MH,10,85.910881168
Lightweight_MH,10,83.842621724
Lightweight_MH,10,81.069224136
Lightweight_MH,10,84.222663657
Lightweight_MH,10,81.282916042
Lightweight_MH,10,87.392664043
Lightweight_MH,10,85.328537894
Lightweight_MH,10,85.083228259
Lightweight_MH,10,86.997671412
Incremental_MH,1,0.54118083
Incremental_MH,1,0.4768736
Incremental_MH,1,0.599129649
Incremental_MH,1,0.586127252
Incremental_MH,1,0.465172833
Incremental_MH,1,0.435488243
Incremental_MH,1,0.430718089
Incremental_MH,1,0.493837127
Incremental_MH,1,0.582224846
Incremental_MH,1,0.428128095
Incremental_MH,1,0.554547418
Incremental_MH,1,0.538334123
Incremental_MH,1,0.513110091
Incremental_MH,1,0.403363899
Incremental_MH,1,0.401256867
Incremental_MH,1,0.56917343
Incremental_MH,1,0.454659613
Incremental_MH,1,0.606639464
Incremental_MH,1,0.524391261
Incremental_MH,1,0.470728219
Incremental_MH,2,0.593608919
Incremental_MH,2,0.799106365
Incremental_MH,2,0.680695176
Incremental_MH,2,0.78648285
Incremental_MH,2,0.580055346
Incremental_MH,2,0.648840152
Incremental_MH,2,0.428552437
Incremental_MH,2,0.772325361
Incremental_MH,2,0.770999046
Incremental_MH,2,0.57525078
Incremental_MH,2,0.622624962
Incremental_MH,2,0.896322875
Incremental_MH,2,0.768912402
Incremental_MH,2,0.543357118
Incremental_MH,2,0.629258656
Incremental_MH,2,0.784558668
Incremental_MH,2,0.659933396
Incremental_MH,2,0.641321958
Incremental_MH,2,0.617926009
Incremental_MH,2,0.675211511
Incremental_MH,3,0.620687542
Incremental_MH,3,0.755215023
Incremental_MH,3,0.813759904
Incremental_MH,3,0.655805103
Incremental_MH,3,0.862687304
Incremental_MH,3,1.153210385
Incremental_MH,3,0.866802527
Incremental_MH,3,0.825647247
Incremental_MH,3,0.916941623
Incremental_MH,3,0.803609889
Incremental_MH,3,0.787974015
Incremental_MH,3,0.979866187
Incremental_MH,3,0.83943048
Incremental_MH,3,1.2289891960000001
Incremental_MH,3,0.705736445
Incremental_MH,3,0.925663307
Incremental_MH,3,0.819905339
Incremental_MH,3,0.985546333
Incremental_MH,3,0.699019354
Incremental_MH,3,0.701250843
Incremental_MH,4,0.644286018
Incremental_MH,4,0.791072984
Incremental_MH,4,0.795941666
Incremental_MH,4,0.765783756
Incremental_MH,4,0.896928721
Incremental_MH,4,0.953721728
Incremental_MH,4,0.924396019
Incremental_MH,4,1.075646872
Incremental_MH,4,1.059358132
Incremental_MH,4,1.138970556
Incremental_MH,4,0.942258734
Incremental_MH,4,0.842965121
Incremental_MH,4,0.788077961
Incremental_MH,4,0.826982849
Incremental_MH,4,1.235291708
Incremental_MH,4,0.751317637
Incremental_MH,4,0.887419133
Incremental_MH,4,0.51370868
Incremental_MH,4,0.834725401
Incremental_MH,4,0.857044866
Incremental_MH,5,1.354622813
Incremental_MH,5,1.721782493
Incremental_MH,5,1.9719487629999999
Incremental_MH,5,1.272346533
Incremental_MH,5,1.019326306
Incremental_MH,5,1.387935165
Incremental_MH,5,1.093121586
Incremental_MH,5,1.070934786
Incremental_MH,5,1.05746869
Incremental_MH,5,1.351142806
Incremental_MH,5,2.091243957
Incremental_MH,5,1.148924759
Incremental_MH,5,1.721287462
Incremental_MH,5,1.2429046129999999
Incremental_MH,5,1.8383391329999998
Incremental_MH,5,1.480047597
Incremental_MH,5,0.840812343
Incremental_MH,5,1.042396107
Incremental_MH,5,1.237539407
Incremental_MH,5,1.340201614
Incremental_MH,6,1.803835414
Incremental_MH,6,1.342708426
Incremental_MH,6,2.296187663
Incremental_MH,6,1.490622143
Incremental_MH,6,1.094160141
Incremental_MH,6,1.412673947
Incremental_MH,6,1.092731018
Incremental_MH,6,1.5555369
Incremental_MH,6,0.702532894
Incremental_MH,6,1.149591854
Incremental_MH,6,1.43779566
Incremental_MH,6,1.5188256770000002
Incremental_MH,6,0.558583864
Incremental_MH,6,1.323653813
Incremental_MH,6,1.316184958
Incremental_MH,6,1.225020935
Incremental_MH,6,1.16899212
Incremental_MH,6,0.917741499
Incremental_MH,6,0.872993048
Incremental_MH,6,1.565964307
Incremental_MH,7,1.845041704
Incremental_MH,7,0.796234361
Incremental_MH,7,1.6156351230000001
Incremental_MH,7,1.362144493
Incremental_MH,7,2.647884028
Incremental_MH,7,1.6438555049999999
Incremental_MH,7,1.600928679
Incremental_MH,7,2.172233153
Incremental_MH,7,1.3647623260000001
Incremental_MH,7,1.567494983
Incremental_MH,7,1.561433612
Incremental_MH,7,1.7254402039999999
Incremental_MH,7,1.030025914
Incremental_MH,7,1.002162015
Incremental_MH,7,1.196400862
Incremental_MH,7,0.528554547
Incremental_MH,7,1.393412125
Incremental_MH,7,1.1321275769999999
Incremental_MH,7,0.959262526
