infMethod,modelSize,time
Lightweight_MH,10,19.449802555
Lightweight_MH,10,19.71391155
Lightweight_MH,10,21.420554252
Lightweight_MH,10,22.669712593
Lightweight_MH,10,18.941206995
Lightweight_MH,10,19.92448854
Lightweight_MH,10,22.270077468
Lightweight_MH,10,19.943024321
Lightweight_MH,10,19.685487412
Lightweight_MH,10,22.478633754
Lightweight_MH,10,23.693645601
Lightweight_MH,10,19.643273369
Lightweight_MH,10,21.140254348
Lightweight_MH,10,22.788075579
Incremental_MH,1,0.307104275
Incremental_MH,1,0.273532197
Incremental_MH,1,0.263715934
Incremental_MH,1,0.279454835
Incremental_MH,1,0.26512246
Incremental_MH,1,0.25715553
Incremental_MH,1,0.252795089
Incremental_MH,1,0.254820376
Incremental_MH,1,0.297971773
Incremental_MH,1,0.260582965
Incremental_MH,1,0.258117851
Incremental_MH,1,0.255927578
Incremental_MH,1,0.261686139
Incremental_MH,1,0.24942245
Incremental_MH,1,0.246384356
Incremental_MH,1,0.26231495
Incremental_MH,1,0.25996645
Incremental_MH,1,0.25382348
Incremental_MH,1,0.250772769
Incremental_MH,1,0.25604432
Incremental_MH,2,0.250917803
Incremental_MH,2,0.247757741
Incremental_MH,2,0.243992583
Incremental_MH,2,0.252714867
Incremental_MH,2,0.242743614
Incremental_MH,2,0.253060704
Incremental_MH,2,0.252479637
Incremental_MH,2,0.251669392
Incremental_MH,2,0.275654943
Incremental_MH,2,0.275996105
Incremental_MH,2,0.268409961
Incremental_MH,2,0.255181263
Incremental_MH,2,0.253329872
Incremental_MH,2,0.266016043
Incremental_MH,2,0.254517203
Incremental_MH,2,0.259830418
Incremental_MH,2,0.260256266
Incremental_MH,2,0.262451854
Incremental_MH,2,0.259277865
Incremental_MH,2,0.259921834
Incremental_MH,3,0.288528133
Incremental_MH,3,0.28576807
Incremental_MH,3,0.277196522
Incremental_MH,3,0.260955875
Incremental_MH,3,0.285357862
Incremental_MH,3,0.273619697
Incremental_MH,3,0.271373724
Incremental_MH,3,0.267878294
Incremental_MH,3,0.281327347
Incremental_MH,3,0.270587263
Incremental_MH,3,0.264385056
Incremental_MH,3,0.266660146
Incremental_MH,3,0.266232445
Incremental_MH,3,0.273981557
Incremental_MH,3,0.283168679
Incremental_MH,3,0.269591197
Incremental_MH,3,0.284700473
Incremental_MH,3,0.276075847
Incremental_MH,3,0.269404953
Incremental_MH,3,0.263922599
Incremental_MH,4,0.270120605
Incremental_MH,4,0.316263423
Incremental_MH,4,0.309017412
Incremental_MH,4,0.288619508
Incremental_MH,4,0.285632841
Incremental_MH,4,0.295406999
Incremental_MH,4,0.286166091
Incremental_MH,4,0.303924139
Incremental_MH,4,0.278428909
Incremental_MH,4,0.279701973
Incremental_MH,4,0.287498533
Incremental_MH,4,0.290111263
Incremental_MH,4,0.282999886
Incremental_MH,4,0.306718272
Incremental_MH,4,0.297794612
Incremental_MH,4,0.293415573
Incremental_MH,4,0.284762939
Incremental_MH,4,0.279885378
Incremental_MH,4,0.279005615
Incremental_MH,4,0.319479076
Incremental_MH,5,0.303683605
Incremental_MH,5,0.287431454
Incremental_MH,5,0.292284447
Incremental_MH,5,0.305434001
Incremental_MH,5,0.296411096
Incremental_MH,5,0.311042001
Incremental_MH,5,0.303965182
Incremental_MH,5,0.296047437
Incremental_MH,5,0.32179491
Incremental_MH,5,0.294903918
Incremental_MH,5,0.291096859
Incremental_MH,5,0.318255261
Incremental_MH,5,0.312598144
Incremental_MH,5,0.299693563
Incremental_MH,5,0.300206768
Incremental_MH,5,0.290809122
Incremental_MH,5,0.29596464
Incremental_MH,5,0.330516698
Incremental_MH,5,0.288599809
Incremental_MH,5,0.302946483
Incremental_MH,6,0.303421504
Incremental_MH,6,0.320228785
Incremental_MH,6,0.300880661
Incremental_MH,6,0.300930705
Incremental_MH,6,0.331471421
