model,infMethod,modelSize,time
hmm,Lightweight_MH,8,37.811503969
hmm,Lightweight_MH,8,40.389661938
hmm,Lightweight_MH,8,37.75353273
hmm,Lightweight_MH,8,36.24203844
hmm,Lightweight_MH,8,37.638062614
hmm,Lightweight_MH,8,38.520020719
hmm,Lightweight_MH,8,39.823917643
hmm,Lightweight_MH,8,38.542010988
hmm,Lightweight_MH,8,40.41503535
hmm,Lightweight_MH,9,53.123865057
hmm,Lightweight_MH,9,50.807070963
hmm,Lightweight_MH,9,49.453665901
hmm,Lightweight_MH,9,50.142154233
hmm,Lightweight_MH,9,52.091478239
hmm,Lightweight_MH,9,52.093593047
hmm,Lightweight_MH,9,51.230052536
hmm,Lightweight_MH,9,53.852304868
hmm,Lightweight_MH,9,49.778094962
hmm,Lightweight_MH,9,49.501265959
hmm,Lightweight_MH,9,50.15868171
hmm,Lightweight_MH,9,50.424634077
hmm,Lightweight_MH,9,49.914388222
hmm,Lightweight_MH,9,49.384906617
hmm,Lightweight_MH,9,48.224073789
hmm,Lightweight_MH,9,49.929426237
hmm,Lightweight_MH,9,49.745352258
hmm,Lightweight_MH,9,52.085049969
hmm,Lightweight_MH,9,50.19237311
hmm,Lightweight_MH,9,51.530000788
hmm,Lightweight_MH,10,59.425463807
hmm,Lightweight_MH,10,62.127045493
hmm,Lightweight_MH,10,65.592778515
hmm,Lightweight_MH,10,63.402464817
hmm,Lightweight_MH,10,67.593140604
hmm,Lightweight_MH,10,63.876532161
hmm,Lightweight_MH,10,66.38956952
hmm,Lightweight_MH,10,60.84116966
hmm,Lightweight_MH,10,66.334157522
hmm,Lightweight_MH,10,66.284850898
hmm,Lightweight_MH,10,64.159978097
hmm,Lightweight_MH,10,64.15207718
hmm,Lightweight_MH,10,64.521586956
hmm,Lightweight_MH,10,68.101772745
hmm,Lightweight_MH,10,67.366944426
hmm,Lightweight_MH,10,65.666266076
hmm,Lightweight_MH,10,64.2727106
hmm,Lightweight_MH,10,63.648761096
hmm,Lightweight_MH,10,66.582529217
hmm,Lightweight_MH,10,69.676937903
hmm,Incremental_MH,1,0.172883183
hmm,Incremental_MH,1,0.157189106
hmm,Incremental_MH,1,0.156010298
hmm,Incremental_MH,1,0.177957901
hmm,Incremental_MH,1,0.140299315
hmm,Incremental_MH,1,0.141605083
hmm,Incremental_MH,1,0.130748613
hmm,Incremental_MH,1,0.132488142
hmm,Incremental_MH,1,0.127506156
hmm,Incremental_MH,1,0.121232886
hmm,Incremental_MH,1,0.114519196
hmm,Incremental_MH,1,0.128544066
hmm,Incremental_MH,1,0.143928886
hmm,Incremental_MH,1,0.134397648
hmm,Incremental_MH,1,0.136209292
hmm,Incremental_MH,1,0.122372521
